"GEO_ID","NAME","POP"
"0500000US05043","Drew County, Arkansas","18723"
"0500000US05045","Faulkner County, Arkansas","86014"
"0500000US05047","Franklin County, Arkansas","17771"
"0500000US05049","Fulton County, Arkansas","11642"
"0500000US05051","Garland County, Arkansas","88068"
"0500000US05053","Grant County, Arkansas","16464"
"0500000US05055","Greene County, Arkansas","37331"
"0500000US05057","Hempstead County, Arkansas","23587"
"0500000US05059","Hot Spring County, Arkansas","30353"
"0500000US05061","Howard County, Arkansas","14300"
"0500000US05063","Independence County, Arkansas","34233"
"0500000US05065","Izard County, Arkansas","13249"
"0500000US05067","Jackson County, Arkansas","18418"
"0500000US05069","Jefferson County, Arkansas","84278"
"0500000US05071","Johnson County, Arkansas","22781"
"0500000US05073","Lafayette County, Arkansas","8559"
"0500000US05075","Lawrence County, Arkansas","17774"
"0500000US05077","Lee County, Arkansas","12580"
"0500000US05079","Lincoln County, Arkansas","14492"
"0500000US05081","Little River County, Arkansas","13628"
"0500000US05083","Logan County, Arkansas","22486"
"0500000US05085","Lonoke County, Arkansas","52828"
"0500000US05087","Madison County, Arkansas","14243"
"0500000US05089","Marion County, Arkansas","16140"
"0500000US05091","Miller County, Arkansas","40443"
"0500000US05093","Mississippi County, Arkansas","51979"
"0500000US05095","Monroe County, Arkansas","10254"
"0500000US05097","Montgomery County, Arkansas","9245"
"0500000US05099","Nevada County, Arkansas","9955"
"0500000US05101","Newton County, Arkansas","8608"
"0500000US05103","Ouachita County, Arkansas","28790"
"0500000US05105","Perry County, Arkansas","10209"
"0500000US05107","Phillips County, Arkansas","26445"
"0500000US05109","Pike County, Arkansas","11303"
"0500000US05111","Poinsett County, Arkansas","25614"
"0500000US05113","Polk County, Arkansas","20229"
"0500000US05115","Pope County, Arkansas","54469"
"0500000US05117","Prairie County, Arkansas","9539"
"0500000US05119","Pulaski County, Arkansas","361474"
"0500000US05121","Randolph County, Arkansas","18195"
"0500000US05123","St. Francis County, Arkansas","29329"
"0500000US05125","Saline County, Arkansas","83529"
