state,county,reporting,dem,gop,lib,grn,una,oth
IL,Lawrence,100%,1288,4517,193,41,0,0
IL,Lee,100%,5499,8597,893,226,0,0
IL,Livingston,100%,4005,10197,769,125,0,0
IL,Logan,100%,3301,8167,533,129,0,0
IL,Macon,100%,18211,26782,1836,454,0,0
IL,Macoupin,100%,6532,14194,917,238,0,0
IL,Madison,100%,50336,70295,5440,1831,0,0
IL,Marion,100%,4231,11677,534,158,0,0
IL,Marshall,100%,1784,3776,265,78,0,0
IL,Mason,100%,2008,4051,320,54,0,0
IL,Massac,100%,1555,4844,194,40,0,0
IL,McDonough,100%,5278,6789,634,209,0,0
IL,McHenry,100%,59827,71117,7083,2118,0,0
IL,McLean,100%,35918,37081,4803,1193,0,0
IL,Menard,100%,1808,4230,311,74,0,0
IL,Mercer,100%,3061,4800,474,82,0,0
IL,Monroe,100%,5522,12614,738,200,0,0
IL,Montgomery,100%,3490,8616,595,128,0,0
IL,Morgan,100%,4693,9060,667,187,0,0
IL,Moultrie,100%,1476,4453,237,43,0,0
IL,Ogle,100%,8025,14344,1155,274,0,0
IL,Peoria,100%,37436,35299,3665,1065,0,0
IL,Perry,100%,2433,6816,345,112,0,0
IL,Piatt,100%,2633,5623,557,86,0,0
IL,Pike,100%,1412,5749,257,40,0,0
IL,Pope,100%,374,1678,62,18,0,0
IL,Pulaski,100%,817,1583,54,19,0,0
IL,Putnam,100%,1143,1762,136,35,0,0
IL,Randolph,100%,3421,9992,485,134,0,0
IL,Richland,100%,1579,5736,234,81,0,0
IL,Rock Island,100%,32258,26969,3012,732,0,0
IL,Saline,100%,2551,8248,358,77,0,0
IL,Sangamon,100%,40731,49823,4484,1434,0,0
IL,Schuyler,100%,1074,2523,154,41,0,0
IL,Scott,100%,528,1965,68,22,0,0
IL,Shelby,100%,2279,8209,369,55,0,0
IL,St. Clair,100%,60180,53479,4100,1442,0,0
IL,Stark,100%,748,1777,149,33,0,0
IL,Stephenson,100%,7531,10845,908,241,0,0
IL,Tazewell,100%,20568,38620,3336,823,0,0
IL,Union,100%,2389,5780,219,126,0,0
IL,Vermilion,100%,9876,18582,1060,281,0,0
IL,Wabash,100%,1146,4039,175,42,0,0
IL,Warren,100%,2983,4267,358,92,0,0
IL,Washington,100%,1446,5566,289,75,0,0
IL,Wayne,100%,1048,6963,190,55,0,0
IL,White,100%,1412,5639,204,34,0,0
IL,Whiteside,100%,11005,12597,1283,325,0,0
IL,Will,100%,146230,129726,11337,3717,0,0
IL,Williamson,100%,8539,21503,986,394,0,0
IL,Winnebago,100%,52595,53922,4878,1632,0,0
IL,Woodford,100%,5068,13180,928,213,0,0
IN,Adams,100%,2802,9642,595,0,0,0
IN,Allen,100%,55222,83801,6764,0,0,0
IN,Bartholomew,100%,9841,20637,1911,0,0,0
IN,Benton,100%,860,2579,215,0,0,0
IN,Blackford,100%,1243,3349,230,0,0,0
IN,Boone,100%,10181,19654,2226,0,0,0
IN,Brown,100%,2518,5015,375,0,0,0
IN,Carroll,100%,1891,6273,445,0,0,0
IN,Cass,100%,3758,9697,680,0,0,0
IN,Clark,100%,18791,30012,2301,0,0,0
IN,Clay,100%,2306,8528,425,0,0,0
IN,Clinton,100%,2819,8530,547,0,0,0
IN,Crawford,100%,1323,3013,255,0,0,0
IN,Daviess,100%,1800,8545,391,0,0,0
IN,Dearborn,100%,4883,18110,917,0,0,0
IN,Decatur,100%,2121,8488,486,0,0,0
IN,DeKalb,100%,3941,12054,821,0,0,0
IN,Delaware,100%,18100,24217,2382,0,0,0
IN,Dubois,100%,5389,13365,1163,0,0,0
IN,Elkhart,100%,20667,41810,2710,0,0,0
IN,Fayette,100%,2252,6839,439,0,0,0
IN,Floyd,100%,13939,21427,1859,0,0,0
IN,Fountain,100%,1476,5661,337,0,0,0
IN,Franklin,100%,1967,8665,358,0,0,0
IN,Fulton,100%,1960,6010,404,0,0,0
IN,Gibson,100%,3720,11079,673,0,0,0
IN,Grant,100%,7029,17009,1201,0,0,0
IN,Greene,100%,2929,10275,559,0,0,0
IN,Hamilton,100%,57214,87299,9117,0,0,0
IN,Hancock,100%,8901,25050,2076,0,0,0
IN,Harrison,100%,4776,12993,759,0,0,0
IN,Hendricks,100%,22595,48326,4337,0,0,0
IN,Henry,100%,5124,13895,1056,0,0,0
IN,Howard,100%,11215,23675,1864,0,0,0
IN,Huntington,100%,3506,11649,819,0,0,0
IN,Jackson,100%,3843,12857,832,0,0,0
IN,Jasper,100%,3329,9382,620,0,0,0
IN,Jay,100%,1889,5697,376,0,0,0
IN,Jefferson,100%,4325,8538,598,0,0,0
IN,Jennings,100%,2364,8222,529,0,0,0
IN,Johnson,100%,17318,45456,3455,0,0,0
IN,Knox,100%,3772,11077,634,0,0,0
IN,Kosciusko,100%,6311,23909,1687,0,0,0
IN,LaGrange,100%,2080,7025,447,0,0,0
IN,Lake,100%,116896,75565,7786,0,0,0
IN,LaPorte,100%,19795,22678,2521,0,0,0
IN,Lawrence,100%,4210,14034,832,0,0,0
IN,Madison,100%,18595,32376,2689,0,0,0
IN,Marion,100%,212676,130228,18166,0,0,0
IN,Marshall,100%,4798,12286,924,0,0,0
IN,Martin,100%,881,3695,231,0,0,0
IN,Miami,100%,2766,9975,699,0,0,0
IN,Monroe,100%,34183,20527,2913,0,0,0
IN,Montgomery,100%,3362,11051,688,0,0,0
IN,Morgan,100%,6037,23671,1472,0,0,0
IN,Newton,100%,1403,4074,314,0,0,0
IN,Noble,100%,3904,12198,788,0,0,0
IN,Ohio,100%,686,2118,113,0,0,0
IN,Orange,100%,2048,5800,341,0,0,0
IN,Owen,100%,1946,6151,423,0,0,0
IN,Parke,100%,1441,4863,272,0,0,0
IN,Perry,100%,3062,4556,407,0,0,0
IN,Pike,100%,1297,4398,282,0,0,0
IN,Porter,100%,33531,38719,4242,0,0,0
IN,Posey,100%,3515,8393,540,0,0,0
IN,Pulaski,100%,1327,3854,256,0,0,0
IN,Putnam,100%,3356,10637,687,0,0,0
IN,Randolph,100%,2446,7515,495,0,0,0
IN,Ripley,100%,2471,9806,513,0,0,0
IN,Rush,100%,1525,5292,397,0,0,0
IN,Scott,100%,2642,6074,344,0,0,0
IN,Shelby,100%,4247,12718,970,0,0,0
IN,Spencer,100%,2861,6572,526,0,0,0
IN,St. Joseph,100%,52247,52019,5186,0,0,0
IN,Starke,100%,2489,6367,370,0,0,0
IN,Steuben,100%,3741,10127,662,0,0,0
IN,Sullivan,100%,2113,6138,308,0,0,0
IN,Switzerland,100%,930,2558,151,0,0,0
IN,Tippecanoe,100%,27207,30711,3998,0,0,0
IN,Tipton,100%,1587,5589,334,0,0,0
IN,Union,100%,715,2445,126,0,0,0
IN,Vanderburgh,100%,28296,40422,3239,0,0,0
IN,Vermillion,100%,2081,4511,321,0,0,0
IN,Vigo,100%,15922,21924,1723,0,0,0
IN,Wabash,100%,3018,9819,578,0,0,0
IN,Warren,100%,839,2896,184,0,0,0
IN,Warrick,100%,9086,19133,1390,0,0,0
IN,Washington,100%,2636,8206,491,0,0,0
IN,Wayne,100%,8322,16028,1225,0,0,0
IN,Wells,100%,2585,9999,539,0,0,0
IN,White,100%,2563,6813,526,0,0,0
IN,Whitley,100%,3379,11357,799,0,0,0
IA,Adair,100%,1127,2456,125,13,10,28
IA,Adams,100%,565,1393,93,9,6,16
IA,Allamakee,100%,2409,4072,224,46,34,52
IA,Appanoose,100%,1813,4031,139,42,24,47
IA,Audubon,100%,1079,2135,106,24,9,26
IA,Benton,100%,4672,8226,540,86,70,96
IA,Black Hawk,100%,32006,27382,2357,601,483,392
IA,Boone,100%,5517,7458,643,104,158,104
IA,Bremer,100%,5349,7199,543,81,87,91
IA,Buchanan,100%,3966,5504,478,54,48,87
IA,Buena Vista,100%,2851,4895,287,47,58,41
IA,Butler,100%,2163,4918,217,43,50,66
IA,Calhoun,100%,1396,3466,172,18,17,36
IA,Carroll,100%,3305,6627,317,58,54,74
IA,Cass,100%,1946,4755,206,52,50,46
IA,Cedar,100%,3578,5275,362,70,38,63
IA,Cerro Gordo,100%,9840,11583,843,128,141,98
IA,Cherokee,100%,1676,4188,206,29,41,46
IA,Chickasaw,100%,2264,3739,236,48,28,52
IA,Clarke,100%,1463,2706,159,18,20,39
IA,Clay,100%,2246,5870,286,35,58,47
IA,Clayton,100%,3236,5309,384,50,47,72
IA,Clinton,100%,10079,11249,819,183,134,284
IA,Crawford,100%,1985,4608,172,33,18,46
IA,Dallas,100%,15662,19288,1749,181,518,219
IA,Davis,100%,976,2721,85,25,20,31
IA,Decatur,100%,1201,2296,123,29,20,34
IA,Delaware,100%,2956,5688,337,40,47,97
IA,Des Moines,100%,8178,9479,633,132,130,161
IA,Dickinson,100%,3051,6743,291,54,49,59
IA,Dubuque,100%,22774,23384,374,87,303,2115
IA,Emmet,100%,1356,3121,138,26,16,50
IA,Fayette,100%,3666,5591,326,62,65,103
IA,Floyd,100%,3177,4371,241,60,63,73
IA,Franklin,100%,1490,3153,187,31,27,27
IA,Fremont,100%,959,2401,115,21,19,39
IA,Greene,100%,1688,2819,160,31,29,35
IA,Grundy,100%,1847,4516,233,38,58,74
IA,Guthrie,100%,1720,3603,256,18,15,42
IA,Hamilton,100%,2715,4450,259,31,67,67
IA,Hancock,100%,1582,3972,165,22,29,45
IA,Hardin,100%,2774,5231,294,28,68,28
IA,Harrison,100%,2123,4892,209,50,39,65
IA,Henry,90%,2897,5764,336,113,99,77
IA,Howard,100%,1674,2611,130,38,14,40
IA,Humboldt,100%,1251,3564,127,20,40,31
IA,Ida,100%,792,2655,103,9,15,16
IA,Iowa,100%,3070,5193,315,61,54,96
IA,Jackson,100%,3837,5821,318,85,55,88
IA,Jasper,100%,7108,10556,715,95,91,211
IA,Jefferson,100%,3702,3738,246,255,25,35
IA,Johnson,100%,49942,20993,2743,874,711,374
IA,Jones,100%,3779,5718,305,62,49,98
IA,Keokuk,100%,1265,3385,139,28,15,26
IA,Kossuth,100%,2529,5637,193,33,36,77
IA,Lee,100%,6195,8762,502,145,84,205
IA,Linn,100%,58481,48183,5510,994,922,574
IA,Louisa,100%,1643,3060,134,28,39,39
IA,Lucas,100%,1236,2873,115,28,16,29
IA,Lyon,100%,917,5188,137,18,33,43
IA,Madison,100%,2666,5336,344,41,81,55
IA,Mahaska,100%,2606,7404,316,38,73,57
IA,Marion,100%,5469,10940,703,73,203,166
IA,Marshall,100%,7623,9125,576,117,104,155
IA,Mills,100%,2080,5050,303,56,76,43
IA,Mitchell,100%,1879,3180,209,28,24,40
IA,Monona,100%,1244,3115,112,22,12,20
IA,Monroe,100%,1053,2635,104,13,14,25
IA,Montgomery,100%,1312,3431,152,38,27,38
IA,Muscatine,100%,8284,9549,741,180,136,196
IA,O'Brien,100%,1314,5735,195,27,30,47
IA,Osceola,100%,552,2528,73,10,20,14
IA,Page,100%,1801,4875,174,37,34,47
IA,Palo Alto,100%,1395,3079,131,20,13,36
IA,Plymouth,100%,2878,9659,342,52,70,56
IA,Pocahontas,100%,962,2692,115,14,14,34
IA,Polk,100%,119671,93421,10009,1734,2372,1213
IA,Pottawattamie,100%,15341,24441,1467,327,252,398
IA,Poweshiek,100%,4272,4936,281,72,46,86
IA,Ringgold,100%,753,1820,72,8,7,24
IA,Sac,100%,1269,3692,129,23,15,30
IA,Scott,100%,40302,39083,3547,782,641,523
IA,Shelby,100%,1649,4340,174,28,38,41
IA,Sioux,100%,2289,14761,431,53,351,104
IA,Story,100%,25085,19111,2963,475,1037,239
IA,Tama,100%,3194,4968,244,79,44,107
IA,Taylor,100%,755,2108,97,10,12,21
IA,Union,100%,1920,3521,212,52,18,45
IA,Van Buren,100%,843,2524,83,19,23,34
IA,Wapello,100%,5591,8710,380,121,65,129
IA,Warren,100%,10371,14773,1270,122,192,188
IA,Washington,100%,3938,6170,458,79,92,87
IA,Wayne,100%,719,2069,78,17,20,18
IA,Webster,100%,6293,10049,568,113,104,112
IA,Winnebago,100%,1920,3437,218,34,49,59
IA,Winneshiek,100%,5238,5332,381,99,102,65
IA,Woodbury,100%,16102,24627,1173,323,234,474
IA,Worth,100%,1523,2443,165,24,34,27
IA,Wright,100%,1890,3790,175,35,25,34
KS,Allen,100%,1398,3575,223,118,0,0
KS,Anderson,100%,665,2386,146,80,0,0
KS,Atchison,100%,1946,3977,310,160,0,0
KS,Barber,100%,281,1822,78,28,0,0
KS,Barton,100%,1823,7766,344,155,0,0
KS,Bourbon,100%,1306,4314,192,106,0,0
KS,Brown,100%,850,2861,152,97,0,0
KS,Butler,100%,6489,18781,1391,390,0,0
KS,Chase,100%,313,964,42,23,0,0
KS,Chautauqua,100%,236,1552,30,27,0,0
KS,Cherokee,100%,1959,6017,287,123,0,0
